cust,date
42,2006-02-07
42,2006-03-18
42,2006-04-20
42,2006-05-24
42,2006-10-06
43,2006-01-04
43,2006-01-23
43,2006-02-22
43,2006-03-12
44,2006-01-04
45,2006-01-04
45,2006-03-21
45,2006-06-13
45,2006-07-21
45,2006-10-11
45,2006-12-19
45,2007-02-15
46,2006-01-04
46,2006-02-06
47,2006-01-04
47,2006-01-13
47,2006-05-13
48,2006-01-04
49,2006-01-04
49,2006-03-01
49,2006-06-08
50,2006-01-04
51,2006-01-04
52,2006-01-05
52,2006-01-24
52,2006-03-04
52,2006-04-25
52,2006-06-22
52,2006-10-03
52,2007-06-19
53,2006-01-05
54,2006-01-05
54,2006-03-31
54,2006-04-04
54,2006-05-30
54,2006-09-26
54,2007-03-02
54,2007-08-29
55,2006-01-05
56,2006-01-05
57,2006-01-05
58,2006-01-05
59,2006-01-05
59,2006-01-20
59,2006-01-28
60,2006-01-05
60,2006-01-22
60,2006-02-14
60,2006-03-04
60,2006-04-11
60,2006-06-03
60,2006-07-26
61,2006-01-05
62,2006-01-05
62,2006-01-20
62,2006-02-03
62,2006-02-16
62,2006-04-07
63,2006-01-05
63,2006-01-20
63,2006-02-03
63,2006-02-17
63,2006-04-07
64,2006-01-05
64,2006-04-03
64,2006-05-11
65,2006-01-05
65,2006-01-07
65,2006-03-21
66,2006-01-05
66,2006-01-09
66,2006-01-27
66,2006-02-02
66,2006-02-23
66,2006-03-17
67,2006-01-05
68,2006-01-05
69,2006-01-06
70,2006-01-06
71,2006-01-06
71,2006-03-03
71,2006-04-22
71,2006-06-28
71,2006-10-10
71,2007-01-06
71,2007-05-07
71,2007-09-25
72,2006-01-06
73,2006-01-06
73,2006-01-12
73,2006-01-19
73,2006-01-27
73,2006-02-03
73,2006-02-09
73,2006-02-16
73,2006-02-24
73,2006-03-03
73,2006-03-31
73,2006-04-07
73,2006-04-13
73,2006-05-11
73,2006-05-18
73,2006-05-26
73,2006-06-02
73,2006-06-09
73,2006-06-23
73,2007-02-02
73,2007-02-09
74,2006-01-06
75,2006-01-06
75,2006-03-01
75,2006-05-06
75,2007-08-31
76,2006-01-06
76,2006-05-01
77,2006-01-06
77,2006-02-07
77,2006-03-08
77,2006-04-08
77,2006-05-25
77,2006-06-10
77,2006-07-18
77,2006-08-01
77,2006-08-30
77,2006-09-27
77,2006-11-07
77,2007-01-12
77,2007-02-03
78,2006-01-06
78,2006-02-18
78,2006-03-02
78,2006-03-23
78,2006-04-05
78,2006-04-08
78,2006-04-23
78,2006-06-16
78,2006-11-17
78,2006-12-28
78,2007-01-20
78,2007-02-08
78,2007-03-01
78,2007-03-09
78,2007-04-03
78,2007-04-12
78,2007-04-27
78,2007-05-10
79,2006-01-06
80,2006-01-06
80,2006-10-10
80,2006-12-07
81,2006-01-06
81,2006-02-14
81,2006-02-21
81,2006-03-22
81,2006-05-03
81,2006-06-15
81,2006-08-05
82,2006-01-06
82,2006-02-25
82,2006-03-28
82,2006-04-29
82,2006-05-24
82,2006-06-27
82,2006-09-14
82,2006-10-26
82,2006-12-13
83,2006-01-06
83,2006-02-17
83,2006-05-16
83,2006-08-22
83,2006-12-02
83,2007-03-27
83,2007-09-12
84,2006-01-06
85,2006-01-06
85,2006-01-19
86,2006-01-07
87,2006-01-07
87,2006-02-10
87,2006-03-16
87,2006-04-25
87,2006-05-30
87,2006-06-30
87,2006-09-08
87,2006-10-17
87,2006-12-12
87,2007-01-28
87,2007-03-20
87,2007-05-15
87,2007-07-20
87,2007-09-02
87,2007-10-19
87,2007-11-28
88,2006-01-07
89,2006-01-07
89,2006-01-14
90,2006-01-07
91,2006-01-07
92,2006-01-07
92,2006-02-11
92,2006-07-06
93,2006-01-07
94,2006-01-07
94,2006-03-23
94,2006-03-30
94,2006-06-23
94,2006-07-19
94,2006-09-08
94,2007-03-16
94,2007-05-08
94,2007-08-08
94,2007-10-07
95,2006-01-07
95,2006-03-17
95,2007-09-27
95,2007-10-27
95,2007-11-29
96,2006-01-07
97,2006-01-07
97,2006-05-25
97,2006-08-02
97,2006-10-06
97,2006-12-22
97,2007-01-11
97,2007-03-17
97,2007-06-01
98,2006-01-07
98,2006-01-20
98,2006-03-09
98,2006-04-25
98,2006-05-31
98,2006-06-14
98,2006-07-12
98,2006-08-01
98,2006-10-04
98,2006-10-19
98,2006-11-15
98,2006-12-20
98,2007-01-17
98,2007-03-14
98,2007-04-25
98,2007-05-24
98,2007-06-26
98,2007-07-31
98,2007-08-28
98,2007-10-16
98,2007-11-20
98,2007-12-18
99,2006-01-07
100,2006-01-07
101,2006-01-07
102,2006-01-07
102,2006-01-28
103,2006-01-07
103,2006-01-17
103,2006-01-24
103,2006-02-08
103,2006-03-07
103,2006-03-15
103,2006-03-22
103,2006-03-30
103,2007-04-19
104,2006-01-07
105,2006-01-07
106,2006-01-07
106,2006-04-07
106,2006-05-19
107,2006-01-08
108,2006-01-08
109,2006-01-08
109,2006-03-24
109,2006-06-22
110,2006-01-08
110,2006-01-24
111,2006-01-08
111,2006-08-18
112,2006-01-09
112,2006-01-22
112,2006-02-03
112,2006-02-17
112,2006-02-24
112,2006-03-10
113,2006-01-09
114,2006-01-09
115,2006-01-09
115,2006-01-17
116,2006-01-09
116,2006-03-08
116,2006-04-05
117,2006-01-09
117,2006-02-05
117,2006-03-26
117,2006-04-26
117,2006-07-26
117,2007-01-03
118,2006-01-10
118,2006-01-19
119,2006-01-10
120,2006-01-10
120,2006-01-20
120,2006-01-30
120,2006-02-10
120,2006-02-22
121,2006-01-10
122,2006-01-10
122,2006-01-27
122,2006-11-10
123,2006-01-10
124,2006-01-10
124,2006-01-20
124,2006-02-04
124,2006-02-15
124,2006-10-10
124,2007-03-27
124,2007-05-16
124,2007-08-21
125,2006-01-10
125,2006-01-17
126,2006-01-10
126,2006-11-08
127,2006-01-10
128,2006-01-10
129,2006-01-10
129,2006-08-30
130,2006-01-10
131,2006-01-10
131,2006-02-09
131,2006-04-20
131,2006-09-20
132,2006-01-10
133,2006-01-10
134,2006-01-10
135,2006-01-10
136,2006-01-10
137,2006-01-10
137,2006-01-26
137,2006-01-27
137,2006-02-09
137,2006-03-09
137,2006-03-30
137,2006-04-26
137,2006-05-18
137,2006-06-15
137,2006-06-21
137,2006-07-04
137,2006-07-18
137,2006-08-01
137,2006-08-23
137,2006-09-07
137,2006-09-26
137,2006-10-12
137,2006-10-28
137,2006-11-22
137,2006-12-05
137,2006-12-13
137,2007-01-12
137,2007-01-16
137,2007-02-03
137,2007-02-16
137,2007-03-03
137,2007-03-21
137,2007-04-11
137,2007-04-27
137,2007-05-11
137,2007-06-06
137,2007-06-08
137,2007-06-21
137,2007-07-04
137,2007-07-27
137,2007-08-15
137,2007-08-29
137,2007-09-05
137,2007-09-20
137,2007-10-12
137,2007-10-30
137,2007-11-30
137,2007-12-15
138,2006-01-10
139,2006-01-10
139,2006-02-15
139,2006-03-24
139,2006-05-17
139,2006-10-06
139,2007-01-16
139,2007-03-09
139,2007-04-19
139,2007-07-05
139,2007-07-06
139,2007-10-04
140,2006-01-10
140,2006-03-16
140,2006-05-24
140,2006-08-01
140,2006-10-18
140,2007-01-27
140,2007-02-28
141,2006-01-10
142,2006-01-10
142,2006-02-13
143,2006-01-10
144,2006-01-10
145,2006-01-11
145,2006-01-17
145,2006-01-26
145,2006-02-02
145,2006-02-09
145,2006-02-16
145,2006-02-23
145,2006-03-02
145,2006-03-09
145,2006-03-16
145,2006-03-23
145,2006-03-30
145,2006-04-06
145,2006-04-13
145,2006-04-20
145,2006-04-27
145,2006-05-04
145,2006-05-11
145,2006-05-18
145,2006-05-25
145,2006-06-01
145,2006-06-08
145,2006-06-15
145,2006-06-22
145,2006-06-29
145,2006-07-06
145,2006-07-13
145,2006-07-20
145,2006-07-27
145,2006-08-03
145,2006-08-10
145,2006-08-18
145,2006-08-24
145,2006-08-31
145,2006-09-02
145,2006-09-06
145,2006-09-14
145,2006-09-20
145,2006-09-28
145,2006-10-12
145,2006-10-19
145,2006-10-26
145,2006-11-03
145,2006-11-16
145,2006-11-23
145,2006-12-01
145,2006-12-07
145,2006-12-14
145,2006-12-21
145,2006-12-28
145,2007-01-04
145,2007-01-11
145,2007-01-17
145,2007-01-25
145,2007-01-31
145,2007-02-07
145,2007-02-14
145,2007-02-21
145,2007-02-28
145,2007-03-07
145,2007-03-14
145,2007-03-21
145,2007-03-29
145,2007-04-04
145,2007-04-11
145,2007-04-18
145,2007-04-25
145,2007-05-02
145,2007-05-09
145,2007-05-23
145,2007-05-30
145,2007-06-06
145,2007-06-13
145,2007-06-20
145,2007-06-27
145,2007-07-04
145,2007-07-11
145,2007-07-19
145,2007-07-25
145,2007-08-01
145,2007-08-08
145,2007-08-15
145,2007-08-23
145,2007-08-30
145,2007-09-05
145,2007-09-12
145,2007-09-20
145,2007-09-26
145,2007-10-03
145,2007-10-10
145,2007-10-18
145,2007-10-24
145,2007-10-31
145,2007-11-07
145,2007-11-14
145,2007-11-21
145,2007-11-29
145,2007-12-05
145,2007-12-12
145,2007-12-20
145,2007-12-26
146,2006-01-11
146,2006-02-14
146,2006-05-11
146,2006-06-22
146,2006-09-15
146,2007-03-26
147,2006-01-11
148,2006-01-11
149,2006-01-11
149,2006-01-12
149,2006-01-17
150,2006-01-11
151,2006-01-11
152,2006-01-11
153,2006-01-11
153,2006-01-25
153,2006-02-11
153,2006-03-01
153,2006-03-15
153,2006-04-05
153,2006-04-25
153,2006-05-27
153,2006-06-24
153,2006-08-17
154,2006-01-11
155,2006-01-11
155,2006-03-08
155,2006-04-01
155,2006-05-10
155,2006-09-08
155,2006-10-06
155,2006-10-24
155,2007-02-02
155,2007-06-02
156,2006-01-11
156,2006-01-24
156,2006-02-26
156,2006-03-27
156,2006-05-02
156,2006-06-29
156,2006-08-24
156,2006-10-01
156,2006-11-27
156,2007-01-22
156,2007-03-02
157,2006-01-11
158,2006-01-11
159,2006-01-11
160,2006-01-11
160,2006-03-14
161,2006-01-11
162,2006-01-11
162,2006-03-14
162,2006-05-27
162,2006-09-01
162,2006-11-23
162,2007-02-14
162,2007-06-06
162,2007-10-17
163,2006-01-11
163,2006-02-14
163,2006-03-03
163,2006-06-13
164,2006-01-11
164,2006-04-13
164,2006-05-04
165,2006-01-11
166,2006-01-11
166,2006-01-18
166,2006-02-09
167,2006-01-12
168,2006-01-12
168,2006-02-01
169,2006-01-12
169,2006-03-23
169,2006-05-11
169,2007-04-17
169,2007-06-27
169,2007-10-10
170,2006-01-12
170,2006-02-17
170,2006-03-14
171,2006-01-12
172,2006-01-12
173,2006-01-12
173,2006-01-25
174,2006-01-12
174,2006-01-18
174,2006-01-23
174,2006-02-07
174,2006-02-14
174,2006-02-21
175,2006-01-12
176,2006-01-12
176,2006-01-15
177,2006-01-12
177,2006-12-12
177,2006-12-14
178,2006-01-12
178,2006-02-10
178,2006-03-22
178,2006-05-16
178,2006-08-03
179,2006-01-12
179,2006-03-09
179,2006-05-27
179,2006-07-07
179,2006-09-15
179,2006-11-29
179,2007-02-21
179,2007-04-25
179,2007-07-05
179,2007-09-11
179,2007-12-16
180,2006-01-12
180,2006-01-20
180,2006-01-28
180,2006-02-08
180,2006-02-22
180,2006-03-04
180,2006-03-11
180,2006-03-22
180,2006-04-02
180,2006-04-12
180,2006-04-22
180,2006-05-05
180,2006-05-16
180,2006-05-27
180,2006-06-07
180,2006-06-20
180,2006-07-05
180,2006-07-23
180,2006-08-08
180,2006-08-19
180,2006-09-01
180,2006-09-13
180,2006-09-26
180,2006-10-10
180,2006-10-24
180,2006-11-07
180,2006-11-21
180,2006-12-05
180,2006-12-20
180,2007-01-04
180,2007-01-18
180,2007-02-01
180,2007-02-17
180,2007-03-06
180,2007-03-22
180,2007-04-04
180,2007-04-17
180,2007-05-03
180,2007-05-22
180,2007-06-05
180,2007-06-15
180,2007-07-06
180,2007-07-24
180,2007-08-07
180,2007-08-22
180,2007-09-07
180,2007-09-19
180,2007-10-09
180,2007-10-26
180,2007-11-13
180,2007-11-27
180,2007-12-12
180,2007-12-27
181,2006-01-12
182,2006-01-12
182,2007-06-06
182,2007-06-08
183,2006-01-12
183,2006-02-02
183,2006-03-09
183,2006-04-14
183,2006-05-25
183,2006-07-05
183,2006-08-08
183,2006-09-14
183,2006-10-12
183,2006-11-18
183,2006-12-22
183,2007-01-26
183,2007-03-02
183,2007-03-29
183,2007-04-25
183,2007-06-01
183,2007-07-10
183,2007-08-09
183,2007-10-04
183,2007-12-15
184,2006-01-12
184,2006-02-28
184,2006-08-10
184,2006-09-07
184,2006-10-12
184,2006-10-14
184,2006-12-09
184,2007-02-03
184,2007-03-14
184,2007-05-16
184,2007-06-22
184,2007-07-28
184,2007-09-20
184,2007-10-27
184,2007-11-17
184,2007-12-20
185,2006-01-12
186,2006-01-12
187,2006-01-12
187,2006-04-07
188,2006-01-12
189,2006-01-12
189,2006-02-03
189,2007-12-01
190,2006-01-12
190,2006-05-18
190,2006-07-05
190,2006-07-11
190,2006-08-17
191,2006-01-12
191,2006-01-26
192,2006-01-12
193,2006-01-12
193,2006-01-28
193,2006-02-16
193,2006-03-06
193,2006-03-08
193,2006-03-21
193,2006-04-06
193,2006-05-04
193,2006-07-10
193,2006-10-01
193,2006-11-04
193,2007-01-13
193,2007-02-17
193,2007-02-22
193,2007-03-29
193,2007-05-30
193,2007-07-05
193,2007-10-30
193,2007-12-05
194,2006-01-12
195,2006-01-12
195,2006-04-19
195,2006-09-29
195,2006-12-09
195,2007-02-24
195,2007-04-20
195,2007-06-15
195,2007-08-15
195,2007-10-26
196,2006-01-13
196,2006-02-15
196,2006-03-22
196,2006-05-07
196,2006-07-08
196,2006-07-12
196,2006-09-01
196,2006-11-08
196,2006-12-08
196,2007-02-02
196,2007-03-14
196,2007-04-27
196,2007-06-27
196,2007-08-07
196,2007-09-18
196,2007-11-07
197,2006-01-13
197,2006-01-27
197,2006-04-11
198,2006-01-13
198,2007-01-20
199,2006-01-13
200,2006-01-13
200,2006-01-25
201,2006-01-13
202,2006-01-13
202,2006-02-14
202,2006-03-04
202,2006-05-03
202,2006-05-24
202,2006-07-29
202,2006-08-01
202,2006-09-09
202,2006-09-12
202,2006-10-27
202,2006-11-30
202,2006-12-20
202,2007-01-10
202,2007-01-31
202,2007-04-07
202,2007-04-11
202,2007-04-17
202,2007-05-22
202,2007-07-07
202,2007-08-11
202,2007-09-06
202,2007-10-10
202,2007-11-13
203,2006-01-13
203,2006-01-20
203,2006-01-27
203,2006-02-01
203,2006-02-07
203,2006-03-02
203,2006-03-23
204,2006-01-13
204,2006-01-14
204,2007-10-04
204,2007-10-30
204,2007-11-22
204,2007-12-13
205,2006-01-13
206,2006-01-13
207,2006-01-13
208,2006-01-13
208,2007-06-30
208,2007-07-03
209,2006-01-13
209,2007-01-03
210,2006-01-13
210,2006-01-27
210,2006-02-11
210,2006-03-07
210,2006-03-25
210,2006-04-11
210,2006-04-25
210,2006-05-12
210,2006-05-27
210,2006-06-09
210,2006-06-23
210,2006-07-04
210,2006-07-14
210,2006-07-28
210,2006-08-10
210,2006-08-31
210,2006-09-14
210,2006-09-26
210,2006-10-07
210,2006-10-19
210,2006-10-31
210,2006-11-15
210,2006-11-28
210,2006-12-12
210,2006-12-23
210,2007-01-12
210,2007-01-24
210,2007-02-06
210,2007-02-08
210,2007-02-16
210,2007-03-03
210,2007-03-15
210,2007-03-27
210,2007-04-08
210,2007-04-24
210,2007-05-09
210,2007-05-22
210,2007-05-24
210,2007-06-03
210,2007-06-14
210,2007-06-28
210,2007-07-10
210,2007-07-21
210,2007-08-03
210,2007-08-15
210,2007-08-28
210,2007-09-06
210,2007-09-20
210,2007-10-03
210,2007-10-16
210,2007-10-27
210,2007-11-08
210,2007-11-23
210,2007-12-06
210,2007-12-08
210,2007-12-18
210,2007-12-27
211,2006-01-13
211,2006-02-14
211,2006-03-18
211,2006-04-22
211,2006-06-07
211,2006-07-05
211,2006-08-09
211,2006-09-12
211,2007-01-30
211,2007-02-24
211,2007-03-20
211,2007-04-20
211,2007-05-30
211,2007-08-23
211,2007-10-16
211,2007-11-29
212,2006-01-13
213,2006-01-13
214,2006-01-13
214,2006-02-10
214,2006-03-21
214,2006-04-25
214,2006-06-01
214,2006-07-14
214,2006-09-22
214,2006-11-03
214,2006-12-05
214,2007-01-09
214,2007-02-02
214,2007-04-03
214,2007-05-10
214,2007-06-05
214,2007-08-03
214,2007-09-14
214,2007-10-16
214,2007-11-16
214,2007-12-28
215,2006-01-13
216,2006-01-13
216,2006-01-23
216,2006-02-20
216,2006-03-13
216,2006-04-13
216,2006-05-12
216,2006-06-15
216,2006-08-16
216,2006-09-29
216,2006-11-29
216,2007-01-05
216,2007-02-21
216,2007-03-30
216,2007-05-18
216,2007-07-02
216,2007-09-17
216,2007-11-27
217,2006-01-13
218,2006-01-13
218,2006-02-02
218,2006-02-08
218,2006-02-19
218,2006-03-02
218,2006-03-16
218,2006-03-23
218,2006-03-30
218,2006-04-20
218,2006-04-27
218,2006-05-07
218,2006-05-18
218,2006-06-01
218,2006-06-08
218,2006-06-15
218,2006-06-24
218,2006-07-06
218,2006-07-16
218,2006-08-29
218,2006-09-06
218,2006-09-14
218,2006-10-04
218,2006-10-11
218,2006-10-18
218,2006-10-26
218,2006-11-16
218,2006-11-26
218,2006-12-11
218,2007-01-02
218,2007-01-09
218,2007-01-16
218,2007-01-24
218,2007-02-01
218,2007-02-07
218,2007-02-16
218,2007-02-22
218,2007-03-02
218,2007-03-08
218,2007-03-15
218,2007-03-21
218,2007-03-29
218,2007-04-17
218,2007-04-25
218,2007-05-03
218,2007-05-10
218,2007-05-17
218,2007-05-31
218,2007-06-07
218,2007-06-13
218,2007-06-21
218,2007-06-28
218,2007-07-05
218,2007-07-12
218,2007-08-16
218,2007-08-23
218,2007-08-31
218,2007-09-27
218,2007-09-29
218,2007-10-04
218,2007-10-11
218,2007-11-13
218,2007-11-21
218,2007-11-28
218,2007-12-14
218,2007-12-19
219,2006-01-13
219,2006-01-27
219,2006-02-03
219,2006-02-14
219,2006-03-03
219,2006-03-24
219,2006-04-24
219,2006-06-09
219,2007-06-27
220,2006-01-13
220,2006-03-07
220,2006-04-26
220,2006-06-22
220,2006-08-16
220,2006-10-04
220,2006-12-05
220,2007-02-01
220,2007-04-03
221,2006-01-13
221,2006-01-27
221,2006-04-07
221,2006-06-02
221,2006-08-12
221,2006-09-29
221,2007-01-26
221,2007-03-30
221,2007-10-30
222,2006-01-13
223,2006-01-13
223,2006-11-21
223,2007-10-19
223,2007-11-16
224,2006-01-13
225,2006-01-13
225,2006-11-03
226,2006-01-13
226,2006-01-20
226,2006-01-27
226,2006-02-17
227,2006-01-13
228,2006-01-13
229,2006-01-13
229,2006-01-20
229,2006-04-16
229,2006-05-26
229,2006-06-27
229,2006-10-06
229,2006-11-23
229,2006-12-07
229,2006-12-21
230,2006-01-14
230,2006-01-28
230,2006-03-23
230,2006-04-26
230,2006-05-24
231,2006-01-14
231,2006-02-25
231,2006-04-15
231,2006-09-05
231,2006-11-11
231,2006-12-16
231,2007-04-17
232,2006-01-14
232,2006-01-27
232,2006-02-08
232,2006-02-11
232,2006-02-17
232,2006-03-01
232,2006-03-11
232,2006-03-25
232,2006-04-08
232,2006-04-21
232,2006-05-09
232,2006-05-17
232,2006-06-02
232,2006-06-13
232,2006-06-30
232,2006-07-04
232,2006-07-14
232,2006-07-28
232,2006-08-23
232,2006-09-02
232,2006-09-19
232,2006-10-03
232,2006-10-14
232,2006-10-25
232,2006-11-28
232,2006-12-16
232,2007-01-10
232,2007-01-24
232,2007-02-07
232,2007-03-02
232,2007-03-22
232,2007-04-05
232,2007-04-25
232,2007-05-12
232,2007-05-31
232,2007-06-08
232,2007-06-20
232,2007-07-03
232,2007-07-13
232,2007-07-25
232,2007-08-21
232,2007-08-29
232,2007-09-11
232,2007-09-26
232,2007-10-12
232,2007-10-26
232,2007-11-06
232,2007-11-15
232,2007-11-24
232,2007-12-11
232,2007-12-14
233,2006-01-14
233,2006-01-26
233,2006-02-24
233,2006-03-23
233,2006-04-07
233,2006-04-28
233,2006-06-20
233,2006-07-26
233,2006-08-31
233,2006-10-26
233,2006-12-12
233,2007-02-01
233,2007-03-30
233,2007-05-04
233,2007-08-15
233,2007-09-29
234,2006-01-14
235,2006-01-14
235,2006-05-06
235,2006-06-30
235,2006-08-02
235,2006-09-29
235,2006-11-29
235,2007-01-26
235,2007-04-04
235,2007-04-06
235,2007-06-16
235,2007-08-22
235,2007-10-03
235,2007-11-23
236,2006-01-14
237,2006-01-14
237,2006-06-17
237,2006-11-08
237,2007-01-26
237,2007-05-25
237,2007-09-01
237,2007-10-28
237,2007-11-09
238,2006-01-14
238,2006-11-24
239,2006-01-14
239,2006-03-02
239,2006-05-09
239,2006-09-05
239,2006-11-14
239,2007-01-20
239,2007-03-15
239,2007-05-08
239,2007-06-23
239,2007-09-15
239,2007-11-20
240,2006-01-14
240,2006-03-26
241,2006-01-14
241,2006-01-23
241,2006-01-30
241,2006-02-06
241,2006-02-14
241,2006-02-22
241,2006-03-07
241,2006-03-20
241,2006-10-04
241,2006-10-17
242,2006-01-15
243,2006-01-15
244,2006-01-15
244,2006-02-03
244,2006-02-10
244,2006-03-28
245,2006-01-15
245,2006-03-24
245,2006-05-22
246,2006-01-15
247,2006-01-15
247,2006-03-09
247,2006-04-03
